Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 01 01 00 75.4308 0.2228
2013 01 01 02 00 98.4915 0.3154
2013 01 01 03 00 87.5222 0.4424
2013 01 01 04 00 21.2496 0.2589
2013 01 01 05 00 322.2944 0.3633
2013 01 01 06 00 326.8347 0.4938
2013 01 01 07 00 221.0491 0.7499
2013 01 01 08 00 254.6666 1.5137
2013 01 01 09 00 215.3940 1.0547
2013 01 01 10 00 277.8632 2.2771
2013 01 01 11 00 274.5274 2.3818
2013 01 01 12 00 275.7645 3.3000
2013 01 01 13 00 278.3487 3.4594
2013 01 01 14 00 273.5954 1.8556
2013 01 01 15 00 238.9336 1.2271
2013 01 01 16 00 239.0415 1.2060
2013 01 01 17 00 220.1409 1.1336
2013 01 01 18 00 114.7003 0.6253
2013 01 01 19 00 126.7872 0.7935
2013 01 01 20 00 105.3550 0.5418
2013 01 01 21 00 127.8559 0.8093
2013 01 01 22 00 122.5277 0.8214
2013 01 01 23 00 272.2980 1.2563
2013 01 01 24 00 297.8127 0.4794
2013 01 02 01 00 285.9838 0.8931
2013 01 02 02 00 329.5698 1.2432
2013 01 02 03 00 326.4028 1.0456
2013 01 02 04 00 329.1701 0.8336
2013 01 02 05 00 170.4238 0.3519
2013 01 02 06 00 317.8207 0.7725
2013 01 02 07 00 324.2263 0.8731
2013 01 02 08 00 327.9014 1.1911
2013 01 02 09 00 354.7248 0.7647
2013 01 02 10 00 323.9221 0.5681
2013 01 02 11 00 303.0078 0.5842
2013 01 02 12 00 76.0246 0.6954
2013 01 02 13 00 319.4172 1.0163
2013 01 02 14 00 339.3398 1.7372
2013 01 02 15 00 347.2928 1.5858
2013 01 02 16 00 302.7357 1.6707
2013 01 02 17 00 289.2636 1.4436
2013 01 02 18 00 327.9791 1.8407
2013 01 02 19 00 327.4143 1.8367
2013 01 02 20 00 336.5713 2.0472
2013 01 02 21 00 339.2381 2.3963
2013 01 02 22 00 320.2075 1.3529
2013 01 02 23 00 327.4695 1.2800
2013 01 02 24 00 174.1628 0.5065
2013 01 03 01 00 80.2436 0.4099
2013 01 03 02 00 92.9867 0.9046
2013 01 03 03 00 89.4494 0.7864
2013 01 03 04 00 84.0226 0.6993
2013 01 03 05 00 90.2378 1.1196
2013 01 03 06 00 86.8767 0.7471
2013 01 03 07 00 98.6181 0.2099
2013 01 03 08 00 97.5838 0.4306
2013 01 03 09 00 316.5696 0.6876
2013 01 03 10 00 120.9653 0.5346
2013 01 03 11 00 123.1890 0.9656
2013 01 03 12 00 152.7911 0.7144
2013 01 03 13 00 243.5353 0.9979
2013 01 03 14 00 133.6561 0.7425
2013 01 03 15 00 126.8093 0.9957
2013 01 03 16 00 132.2444 0.6661
2013 01 03 17 00 122.2211 0.5797
2013 01 03 18 00 119.1315 0.5858
2013 01 03 19 00 128.7584 0.5597
2013 01 03 20 00 270.7149 0.4628
2013 01 03 21 00 131.1634 0.2181
2013 01 03 22 00 83.8654 0.5436
2013 01 03 23 00 72.4064 0.3917
2013 01 03 24 00 88.0134 0.2557
2013 01 04 01 00 107.6793 0.4013
2013 01 04 02 00 115.4102 0.6293
2013 01 04 03 00 125.4374 0.5667
2013 01 04 04 00 112.6505 0.4029
2013 01 04 05 00 100.7059 0.4429
2013 01 04 06 00 39.7196 0.3654
2013 01 04 07 00 83.0626 0.2714
2013 01 04 08 00 100.6486 0.2761
2013 01 04 09 00 71.9490 0.1310
2013 01 04 10 00 287.4140 0.4329
2013 01 04 11 00 126.2764 0.6061
2013 01 04 12 00 129.8558 0.6726
2013 01 04 13 00 239.8448 0.6761
2013 01 04 14 00 235.7966 0.7321
2013 01 04 15 00 220.7647 0.7072
2013 01 04 16 00 227.7669 0.7635
2013 01 04 17 00 192.2613 0.5679
2013 01 04 18 00 6.8200 0.4239
2013 01 04 19 00 114.1484 0.7924
2013 01 04 20 00 122.8661 0.3647
2013 01 04 21 00 123.7250 0.6592
2013 01 04 22 00 134.4696 0.7750
2013 01 04 23 00 100.7268 0.5562
2013 01 04 24 00 128.1708 0.6440
2013 01 05 01 00 264.8130 0.3843
2013 01 05 02 00 118.4074 0.4590
2013 01 05 03 00 274.4453 0.5158
2013 01 05 04 00 127.3665 0.4328
2013 01 05 05 00 156.3512 0.3318
2013 01 05 06 00 240.7267 0.5149
2013 01 05 07 00 264.0556 0.4678
2013 01 05 08 00 128.7993 0.4381
2013 01 05 09 00 292.7249 0.4233
2013 01 05 10 00 152.1263 0.5029
2013 01 05 11 00 137.4872 0.4363
2013 01 05 12 00 283.3384 0.4497
2013 01 05 13 00 127.0153 0.9142
2013 01 05 14 00 234.5409 0.8642
2013 01 05 15 00 186.6220 0.6525
2013 01 05 16 00 173.6683 0.7367
2013 01 05 17 00 243.1019 0.4050
2013 01 05 18 00 318.0084 0.8017
2013 01 05 19 00 280.2225 0.6844
2013 01 05 20 00 299.3599 0.6338
2013 01 05 21 00 328.3062 1.2346
2013 01 05 22 00 311.2834 0.9008
2013 01 05 23 00 313.3900 0.8768
2013 01 05 24 00 330.8955 1.1003
2013 01 06 01 00 321.9686 0.9575
2013 01 06 02 00 32.7387 0.6200
2013 01 06 03 00 40.1746 0.8363
2013 01 06 04 00 91.2103 0.9106
2013 01 06 05 00 102.9229 0.8060
2013 01 06 06 00 99.5418 0.9806
2013 01 06 07 00 83.7086 1.0050
2013 01 06 08 00 50.7682 0.6994
2013 01 06 09 00 82.3041 0.5711
2013 01 06 10 00 116.3152 0.7671
2013 01 06 11 00 125.5654 1.0785
2013 01 06 12 00 123.0059 0.9039
2013 01 06 13 00 214.9651 0.9933
2013 01 06 14 00 263.6904 0.9889
2013 01 06 15 00 268.4087 1.0382
2013 01 06 16 00 260.9271 0.9025
2013 01 06 17 00 275.9972 0.9972
2013 01 06 18 00 171.0384 0.6675
2013 01 06 19 00 123.0751 0.4914
2013 01 06 20 00 96.4477 0.2228
2013 01 06 21 00 65.3927 0.1575
2013 01 06 22 00 87.3234 0.4965
2013 01 06 23 00 275.8824 0.5190
