Station: Z�rich-Kaserne
Urban
Hourly means, PREC: Hourly sums
CET, ending time
Source: NABEL/MeteoSchweiz
Date/time;O3 [痢/m設;NO2 [痢/m設;SO2 [痢/m設;CO [mg/m設;PM10 [痢/m設;NMVOC [ppm];EC [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
31.12.2012 01:00;70.1;9.0;1.7;0.20;5.9;0.0;0.1;6.6;0.0;-3.3
31.12.2012 02:00;73.1;7.4;1.5;0.20;6.7;0.0;0.1;6.9;0.0;-3.6
31.12.2012 03:00;48.1;15.0;1.6;0.20;7.3;0.0;0.3;5.0;0.0;-2.7
31.12.2012 04:00;43.9;15.1;1.8;0.20;7.4;0.0;0.3;4.4;0.0;-3.0
31.12.2012 05:00;41.1;16.7;2.1;0.30;7.1;0.0;0.3;4.1;0.0;-2.9
31.12.2012 06:00;35.7;22.7;2.9;0.30;8.1;0.0;0.3;4.0;0.0;-2.7
31.12.2012 07:00;25.0;33.5;4.1;0.30;7.7;0.0;0.4;3.8;0.0;-2.5
31.12.2012 08:00;21.1;38.6;4.1;0.30;6.8;0.0;0.4;3.8;0.0;-2.3
31.12.2012 09:00;25.8;36.7;4.0;0.30;7.5;0.1;0.4;3.8;0.0;22.4
31.12.2012 10:00;36.3;29.0;3.6;0.20;8.5;0.0;0.4;4.2;0.0;109.9
31.12.2012 11:00;42.0;24.6;3.4;0.30;8.6;0.0;0.4;4.9;0.0;217.7
31.12.2012 12:00;47.5;21.8;3.2;0.20;8.4;0.0;0.4;5.7;0.0;268.9
31.12.2012 13:00;49.6;21.7;3.3;0.30;8.3;0.0;0.4;6.6;0.0;301.7
31.12.2012 14:00;50.9;23.1;3.1;0.30;8.0;0.0;0.4;7.1;0.0;272.1
31.12.2012 15:00;61.8;16.7;2.3;0.20;8.8;0.0;0.3;7.7;0.0;181.7
31.12.2012 16:00;50.9;26.4;3.2;0.30;9.1;0.0;0.4;7.3;0.0;77.7
31.12.2012 17:00;40.1;36.7;3.0;0.30;8.2;0.1;0.5;6.6;0.0;14.6
31.12.2012 18:00;31.0;45.9;3.9;0.30;8.7;0.1;0.6;6.1;0.0;-2.9
31.12.2012 19:00;12.8;59.3;4.5;0.40;10.3;0.1;0.8;5.4;0.0;-2.9
31.12.2012 20:00;3.1;68.9;6.9;0.50;16.3;0.1;1.4;4.5;0.0;-2.9
