Zürich-Kaserne
Messstation Nr.:  16
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  7 WIRI           -  °         28- 37   Windrichtung
  6 WIGE           -  m/s       18- 27   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 01 01 00 311.7324 0.9255
2013 01 01 02 00 298.4124 0.4640
2013 01 01 03 00 301.5668 0.6128
2013 01 01 04 00 259.7291 0.4956
2013 01 01 05 00 152.9805 1.1124
2013 01 01 06 00 134.1879 1.6199
2013 01 01 07 00 118.3932 1.6737
2013 01 01 08 00 122.4708 1.2309
2013 01 01 09 00 242.3776 2.7487
2013 01 01 10 00 206.0114 2.7115
2013 01 01 11 00 229.0529 3.7378
2013 01 01 12 00 245.0759 4.0009
2013 01 01 13 00 246.1813 2.3323
2013 01 01 14 00 235.3317 3.0540
2013 01 01 15 00 187.6166 2.5258
2013 01 01 16 00 209.8751 2.7719
2013 01 01 17 00 144.2128 2.9208
2013 01 01 18 00 163.8854 3.5465
2013 01 01 19 00 229.2224 3.5104
2013 01 01 20 00 216.3174 2.2679
2013 01 01 21 00 130.4890 2.1961
2013 01 01 22 00 227.2092 2.8689
2013 01 01 23 00 250.6428 2.5510
2013 01 01 24 00 260.4947 2.5871
2013 01 02 01 00 283.3570 2.3031
2013 01 02 02 00 285.0631 2.9536
2013 01 02 03 00 290.0924 2.6230
2013 01 02 04 00 270.8406 1.8752
2013 01 02 05 00 283.7786 2.7996
2013 01 02 06 00 287.7120 1.6436
2013 01 02 07 00 300.8645 0.8127
2013 01 02 08 00 318.0929 0.5888
2013 01 02 09 00 308.3932 0.8191
2013 01 02 10 00 181.1716 0.6396
2013 01 02 11 00 314.1837 0.9308
2013 01 02 12 00 308.8006 1.6052
2013 01 02 13 00 296.6598 1.2323
2013 01 02 14 00 265.4986 1.7853
2013 01 02 15 00 274.2615 1.3591
2013 01 02 16 00 313.3522 1.0216
2013 01 02 17 00 266.2213 1.2271
2013 01 02 18 00 272.9741 0.4415
2013 01 02 19 00 185.2975 0.7444
2013 01 02 20 00 257.8880 0.5363
2013 01 02 21 00 184.8398 0.5050
2013 01 02 22 00 180.4203 0.6912
2013 01 02 23 00 300.9738 0.2938
2013 01 02 24 00 209.6986 0.4217
2013 01 03 01 00 302.7097 0.9151
2013 01 03 02 00 312.6827 1.0721
2013 01 03 03 00 303.6792 0.5649
2013 01 03 04 00 312.6001 0.8170
2013 01 03 05 00 200.1499 0.5672
2013 01 03 06 00 184.5894 0.6508
2013 01 03 07 00 197.5863 0.8605
2013 01 03 08 00 161.1529 2.3273
2013 01 03 09 00 266.4975 0.8030
2013 01 03 10 00 159.6351 2.7800
2013 01 03 11 00 156.5876 2.1059
2013 01 03 12 00 181.9075 1.4807
2013 01 03 13 00 159.1877 1.9969
2013 01 03 14 00 176.3953 1.2132
2013 01 03 15 00 165.6286 2.0607
2013 01 03 16 00 162.2694 2.2282
2013 01 03 17 00 204.0948 1.1137
2013 01 03 18 00 146.7689 2.3555
2013 01 03 19 00 156.7646 1.3370
2013 01 03 20 00 157.5219 1.2526
2013 01 03 21 00 163.3817 1.0673
2013 01 03 22 00 176.4956 1.5637
2013 01 03 23 00 180.5784 1.0479
2013 01 03 24 00 159.4691 1.1051
2013 01 04 01 00 132.9305 1.1028
2013 01 04 02 00 141.3330 1.4594
2013 01 04 03 00 149.9032 2.4860
2013 01 04 04 00 153.6729 1.0522
2013 01 04 05 00 142.2027 1.3149
2013 01 04 06 00 130.4905 1.1793
2013 01 04 07 00 148.8677 2.0478
2013 01 04 08 00 157.5085 2.2127
2013 01 04 09 00 141.6762 1.1756
2013 01 04 10 00 168.6453 0.6830
2013 01 04 11 00 216.8588 0.5273
2013 01 04 12 00 159.1985 0.9889
2013 01 04 13 00 152.3002 1.6847
2013 01 04 14 00 189.0600 0.6743
2013 01 04 15 00 173.9044 0.9079
2013 01 04 16 00 157.7292 1.3201
2013 01 04 17 00 159.2602 1.6458
2013 01 04 18 00 159.1983 1.1299
2013 01 04 19 00 161.7797 0.9282
2013 01 04 20 00 157.1287 0.9358
2013 01 04 21 00 149.0122 1.6695
2013 01 04 22 00 174.0347 0.5756
2013 01 04 23 00 161.7335 0.7893
2013 01 04 24 00 151.2504 1.3928
2013 01 05 01 00 144.0438 1.7691
2013 01 05 02 00 147.7556 1.2695
2013 01 05 03 00 183.9200 0.2985
2013 01 05 04 00 296.5799 1.1043
2013 01 05 05 00 155.3675 1.2106
2013 01 05 06 00 152.9783 0.9997
2013 01 05 07 00 289.5062 0.4966
2013 01 05 08 00 184.4569 0.6507
2013 01 05 09 00 171.8609 0.8708
2013 01 05 10 00 185.9430 0.7962
2013 01 05 11 00 291.0516 1.0663
2013 01 05 12 00 309.9408 2.4478
2013 01 05 13 00 311.0241 2.7932
2013 01 05 14 00 300.0182 3.7507
2013 01 05 15 00 300.8172 3.2907
2013 01 05 16 00 293.8520 2.9862
2013 01 05 17 00 286.6192 2.8951
2013 01 05 18 00 305.1570 3.7613
2013 01 05 19 00 286.2029 3.2337
2013 01 05 20 00 279.5597 2.1132
2013 01 05 21 00 266.0179 1.4954
2013 01 05 22 00 266.0847 1.3621
2013 01 05 23 00 236.3094 0.8439
2013 01 05 24 00 264.3940 1.2857
2013 01 06 01 00 276.6127 1.2220
2013 01 06 02 00 282.6970 1.2560
2013 01 06 03 00 320.6193 1.3871
2013 01 06 04 00 271.9631 0.8421
2013 01 06 05 00 263.7448 1.4702
2013 01 06 06 00 264.7107 1.2666
2013 01 06 07 00 284.7989 1.5926
2013 01 06 08 00 275.3679 1.3875
2013 01 06 09 00 230.3058 1.1911
2013 01 06 10 00 200.1995 1.2411
2013 01 06 11 00 263.1161 1.7608
2013 01 06 12 00 277.5129 2.0257
2013 01 06 13 00 280.7466 2.0182
2013 01 06 14 00 265.9817 1.9611
2013 01 06 15 00 284.9541 1.8114
2013 01 06 16 00 306.6665 2.3974
2013 01 06 17 00 311.1567 2.6513
2013 01 06 18 00 323.0018 2.5398
2013 01 06 19 00 267.4180 1.4522
2013 01 06 20 00 176.9884 1.3260
2013 01 06 21 00 182.7717 0.3005
2013 01 06 22 00 204.3635 0.6464
2013 01 06 23 00 263.1728 1.0181
2013 01 06 24 00 324.8359 1.4314
