Station: Lausanne-C廥ar-Roux
Urban, traffic
Hourly means, PREC: Hourly sums
CET, ending time
Source: NABEL/MeteoSchweiz
Date/time;O3 [痢/m設;NO2 [痢/m設;CO [mg/m設;PM10 [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
31.12.2012 01:00;7.8;56.3;0.50;16.1;3.8;0.0;-2.4
31.12.2012 02:00;22.4;38.0;0.40;11.6;4.1;0.0;-2.3
31.12.2012 03:00;14.5;37.2;0.30;10.3;3.1;0.0;-2.1
31.12.2012 04:00;28.7;25.4;0.30;10.5;3.5;0.0;-2.2
31.12.2012 05:00;19.6;33.7;0.30;9.0;2.9;0.0;-2.2
31.12.2012 06:00;30.8;51.2;0.30;8.7;3.2;0.0;-2.3
31.12.2012 07:00;25.1;51.7;0.40;8.6;3.3;0.0;-2.3
31.12.2012 08:00;28.3;44.2;0.30;9.7;2.9;0.0;-2.1
31.12.2012 09:00;19.4;60.6;0.40;10.2;2.8;0.0;13.6
31.12.2012 10:00;23.7;53.8;0.40;11.2;3.5;0.0;116.3
31.12.2012 11:00;26.1;61.0;0.40;10.9;4.0;0.0;197.3
31.12.2012 12:00;32.3;45.5;0.40;11.6;4.8;0.0;323.0
31.12.2012 13:00;37.4;41.2;0.40;13.4;5.3;0.0;346.5
31.12.2012 14:00;47.0;34.2;0.40;9.5;5.7;0.0;261.3
31.12.2012 15:00;47.9;45.5;0.40;9.1;6.3;0.0;176.6
31.12.2012 16:00;42.1;49.2;0.40;9.1;6.3;0.0;104.2
31.12.2012 17:00;33.8;51.6;0.40;10.7;6.1;0.0;22.6
31.12.2012 18:00;12.6;74.2;0.50;10.2;5.7;0.0;-2.2
31.12.2012 19:00;2.5;88.5;0.70;16.7;5.0;0.0;-2.5
31.12.2012 20:00;1.8;85.7;1.00;21.4;4.4;0.0;-2.4
31.12.2012 21:00;1.9;76.9;0.90;28.4;3.9;0.0;-2.3
31.12.2012 22:00;2.5;65.4;0.60;23.7;3.5;0.0;-2.4
31.12.2012 23:00;3.1;63.3;0.60;22.4;3.6;0.0;-2.3
01.01.2013 00:00;10.4;62.5;0.60;20.9;4.0;0.0;-2.4
01.01.2013 01:00;3.7;83.8;0.90;24.7;3.8;0.0;-2.3
01.01.2013 02:00;4.4;74.2;0.90;32.3;3.8;0.0;-2.3
01.01.2013 03:00;6.4;66.7;0.70;26.7;3.5;0.0;-2.1
